episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
84,Blue-nosed Reindeer! Chopper's Secret!,4.6,https://myanimelist.net/forum/?topicid=143596,"({'positive': 58.69565217391305, 'neutral': 13.043478260869565, 'negative': 28.26086956521739}, 46)",0.8999999999999999,0.30434782608695654,3.8501476017100584,1.69898780679404
85,An Outcast's Dream! Hiluluk the Quack!,4.6,https://myanimelist.net/forum/?topicid=143599,"({'positive': 48.0, 'neutral': 8.0, 'negative': 44.0}, 50)",0.8999999999999999,0.04,3.9318256327243257,1.6427033598795915
86,Hiluluk's Cherry Blossoms and the Will that Gets Carried On!,4.7,https://myanimelist.net/forum/?topicid=118140,"({'positive': 39.130434782608695, 'neutral': 8.695652173913043, 'negative': 52.17391304347826}, 92)",0.925,-0.13043478260869562,4.532599493153256,1.742467017606038
87,Fight Wapol's Crew! The Power of the Munch Munch Fruit!,4.5,https://myanimelist.net/forum/?topicid=143605,"({'positive': 59.523809523809526, 'neutral': 11.904761904761903, 'negative': 28.57142857142857}, 42)",0.875,0.30952380952380953,3.7612001156935624,1.6720477357058525
88,Zoan-type Devil Fruit! Chopper's Seven-form Transformation!,4.4,https://myanimelist.net/forum/?topicid=143607,"({'positive': 73.33333333333333, 'neutral': 8.88888888888889, 'negative': 17.77777777777778}, 45)",0.8500000000000001,0.5555555555555555,3.828641396489095,1.7265611719376257
89,When the Kingdom's Rule Ends! The Flag of Faith Flies Forever!,4.4,https://myanimelist.net/forum/?topicid=143616,"({'positive': 66.66666666666666, 'neutral': 15.555555555555555, 'negative': 17.77777777777778}, 45)",0.8500000000000001,0.4888888888888889,3.828641396489095,1.7235228643289022
90,Hiluluk's Cherry Blossoms! Miracle in the Drum Rockies!,4.6,https://myanimelist.net/forum/?topicid=63018,"({'positive': 67.44186046511628, 'neutral': 13.953488372093023, 'negative': 18.6046511627907}, 86)",0.8999999999999999,0.48837209302325574,4.465908118654584,1.8944507690016854
91,Goodbye Drum Island! I'm Going Out to Sea!,4.4,https://myanimelist.net/forum/?topicid=122066,"({'positive': 64.70588235294117, 'neutral': 19.607843137254903, 'negative': 15.686274509803921}, 51)",0.8500000000000001,0.49019607843137253,3.9512437185814275,1.7964726415036214
92,Alabasta's Hero and a Ballerina on the Ship!,4.3,https://myanimelist.net/forum/?topicid=143713,"({'positive': 58.333333333333336, 'neutral': 8.333333333333332, 'negative': 33.33333333333333}, 48)",0.825,0.25000000000000006,3.8918202981106265,1.690823234903562
93,Off to the Desert Kingdom! The Rain-Summing Powder and the Rebel Army!,4.3,https://myanimelist.net/forum/?topicid=143724,"({'positive': 77.55102040816327, 'neutral': 8.16326530612245, 'negative': 14.285714285714285}, 49)",0.825,0.6326530612244898,3.912023005428146,1.7651248253890492
94,The Reunion of Heroes! His Name is Fire Fist Ace!,4.6,https://myanimelist.net/forum/?topicid=143729,"({'positive': 76.19047619047619, 'neutral': 11.11111111111111, 'negative': 12.698412698412698}, 63)",0.8999999999999999,0.6349206349206349,4.1588830833596715,1.8647321359173388
95,Ace and Luffy! Hot Emotions and Brotherly Bonds!,4.5,https://myanimelist.net/forum/?topicid=143745,"({'positive': 68.33333333333333, 'neutral': 13.333333333333334, 'negative': 18.333333333333332}, 60)",0.875,0.5,4.110873864173311,1.8376515000226625
96,"Erumalu, the City of Green and the Kung Fu Dugongs!",4.2,https://myanimelist.net/forum/?topicid=143842,"({'positive': 62.745098039215684, 'neutral': 9.803921568627452, 'negative': 27.450980392156865}, 51)",0.8,0.3529411764705882,3.9512437185814275,1.7354590987686696
97,Adventure in the Country of Sand! The Monsters that Live in the Scorching Land!,4.2,https://myanimelist.net/forum/?topicid=125532,"({'positive': 60.0, 'neutral': 8.0, 'negative': 32.0}, 50)",0.8,0.28,3.9318256327243257,1.686821182873249
98,Enter the Desert Pirates! The Men Who Live Freely!,4.1,https://myanimelist.net/forum/?topicid=143844,"({'positive': 64.44444444444444, 'neutral': 13.333333333333334, 'negative': 22.22222222222222}, 45)",0.7749999999999999,0.4222222222222222,3.828641396489095,1.6781712003961415
99,"False Fortitude! Camu, Rebel Soldier at Heart!",4.1,https://myanimelist.net/forum/?topicid=143845,"({'positive': 73.80952380952381, 'neutral': 7.142857142857142, 'negative': 19.047619047619047}, 42)",0.7749999999999999,0.5476190476190476,3.7612001156935624,1.6904975909271878
100,Rebel Warrior Kohza! The Dream Vowed to Vivi!,4.0,https://myanimelist.net/forum/?topicid=143846,"({'positive': 67.94871794871796, 'neutral': 12.82051282051282, 'negative': 19.230769230769234}, 78)",0.75,0.48717948717948717,4.3694478524670215,1.8242812326434241
